key;title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id;PDF files
rayyan-352339446;Evaluating Source Code Quality with Large Language Models: a comparative study - Proceedings of the XXIII Brazilian Symposium on Software Quality;2024.0;;;;;;;103–113;Sim\~{o}es, Igor Regis da Silva and Venson, Elaine;https://doi.org/10.1145/3701625.3701650;;Association for Computing Machinery;New York, NY, USA;;;10.1145/3701625.3701650;"Code Quality;Code Readability;Static Analysis;Software Engineering;LLM;ChatGPT.";;;z3JpxW-3701625.3701650_a3H.pdf
rayyan-352343071;Themes of Building LLM-Based Applications for Production: A Practitioner's View  -  2025 IEEE/ACM 4th International Conference on AI Engineering – Software Engineering for AI (CAIN);2025.0;;;;;;;;Mailach, A. and Simon, S. and Dorn, J. and Siegmund, N.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030002;;;;;;10.1109/CAIN66642.2025.00011;;;;Themes_of_Building_LLM-Based_Applications_for_Production_A_Practitioners_View_XBs.pdf
rayyan-352343105; Effect of Explainable Artificial Intelligence on Trust of Mental Health Professionals in an AI-Based System for Suicide Prevention  -  IEEE Access ;;;;;;;;;de Oliveira, A. C. and Azevedo, J. P. C. and Ruback, L. and Moreira, R. and Teixeira, S. S. and Teles, A. S.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10945851;;;;;;10.1109/ACCESS.2025.3556245;;;;Effect_of_Explainable_Artificial_Intelligence_on_Trust_of_Mental_Health_Professionals_in_an_AI-Based_System_for_Suicide_Prevention_ESe.pdf
rayyan-352343111;Implementation and Evaluation of LLM-Based Conversational Systems on a Low-Cost Device  -  2024 IEEE Global Humanitarian Technology Conference (GHTC);2024.0;;;;;;;;Sakai, K. and Uehara, Y. and Kashihara, S.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771565;;;;;;10.1109/GHTC62424.2024.10771565;;;;Implementation_and_Evaluation_of_LLM-Based_Conversational_Systems_on_a_Low-Cost_Device_f5z.pdf
rayyan-352343145;Design, Validation, and Risk Assessment of LLM-Based Generative AI Systems Operating in the Legal Sector  -  2024 IEEE International Symposium on Systems Engineering (ISSE);2024.0;;;;;;;;Buchicchio, E. and Angelis, A. De and Moschitta, A. and Santoni, F. and Marco, L. S. and Carbone, P.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10741134;;;;;;10.1109/ISSE63315.2024.10741134;;;;Design_Validation_and_Risk_Assessment_of_LLM-Based_Generative_AI_Systems_Operating_in_the_Legal_Sector_aRd.pdf
rayyan-352343152;Exploring Explainable AI in Large Language Models: Enhancing Transparency and Trust  -  2024 11th International Conference on Advances in Computing and Communications (ICACC);2024.0;;;;;;;;H, I. A. and Jo, A. A. and Raj, E. D.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10845370;;;;;;10.1109/ICACC63692.2024.10845370;;;;Exploring_Explainable_AI_in_Large_Language_Models_Enhancing_Transparency_and_Trust.pdf
rayyan-352343231; Evaluation of Generative AI Models in Python Code Generation: A Comparative Study  -  IEEE Access ;;;;;;;;;Palla, D. and Slaby, A.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963975;;;;;;10.1109/ACCESS.2025.3560244;;;;Evaluation_of_Generative_AI_Models_in_Python_Code_Generation_A_Comparative_Study.pdf
rayyan-352343282;Understanding Performance Implications of LLM Inference on CPUs  -  2024 IEEE International Symposium on Workload Characterization (IISWC);2024.0;;;;;;;;Na, S. and Jeong, G. and Ahn, B. H. and Young, J. and Krishna, T. and Kim, H.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10763564;;;;;;10.1109/IISWC63097.2024.00024;;;;Understanding_Performance_Implications_of_LLM_Inference_on_CPUs_AiO.pdf
rayyan-352343707; Efficient Prompting for LLM-Based Generative Internet of Things  -  IEEE Internet of Things Journal ;;;;;;;;;Xiao, B. and Kantarci, B. and Kang, J. and Niyato, D. and Guizani, M.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705427;;;;;;10.1109/JIOT.2024.3470210;;;;Efficient_Prompting_for_LLM-Based_Generative_Internet_of_Things_zcE.pdf
rayyan-352344694; Improving the Efficiency of LLM Inference Serving Systems  -  Lecture Notes in Computer Science ;2025.0;;;;;;;;K and Papaioannou and Konstantinos and T and Doudali, Dimitra and Thaleia;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008645828&doi=10.1007%2F978-3-031-90203-1_39&partnerID=40&md5=a1e28d3c7b68c4b807b4bf3cb1cdb4ab;;;;;;10.1007/978-3-031-90203-1_39;;;;978-3-031-90203-1_39_V_Z.pdf
