,owner,repo,commit_sha,source
100,0xk1h0,PentestGPT,a6edb3053ef1b3e0c36286306bc95cd8e6ceb026,Shao_Dataset.csv
0,1Panel-dev,MaxKB,,Own_Extracted_Dataset.xlsx
1,567-labs,instructor,,Own_Extracted_Dataset.xlsx
101,ATheorell,AutoGPTArenaHack,1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,Shao_Dataset.csv
102,Abonia1,Context-Based-LLMChatbot,f21f7e157157d235e0b9ddd2fc997a7d33096da1,Shao_Dataset.csv
103,AgentJ-WR,Private-GPT-Flask,328bbc320a6dacc1a120cfcaf9c88e0fd001b381,Shao_Dataset.csv
104,AgentValley,chromadb-chatbot,48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,Shao_Dataset.csv
2,Aider-AI,aider,,Own_Extracted_Dataset.xlsx
3,All-Hands-AI,OpenHands,,Own_Extracted_Dataset.xlsx
4,AntonOsika,gpt-engineer,,Own_Extracted_Dataset.xlsx
5,AstrBotDevs,AstrBot,,Own_Extracted_Dataset.xlsx
6,Azure-Samples,azure-search-openai-demo,,Own_Extracted_Dataset.xlsx
7,BerriAI,litellm,,Own_Extracted_Dataset.xlsx
105,BillSchumacher,Auto-GPT,bdd07b18bea674cf756ebfb3a0a8915042d9126f,Shao_Dataset.csv
8,BlinkDL,RWKV-LM,,Own_Extracted_Dataset.xlsx
9,Byaidu,PDFMathTranslate,,Own_Extracted_Dataset.xlsx
106,ChuloAI,BrainChulo,f2d6753177ef9940dcb6994da03fbf5fd323a3b3,Shao_Dataset.csv
107,CloudDevStudios,Agent-LLM,f89aaebd761a4d016b8a61ee511330f5ed403fe9,Shao_Dataset.csv
108,Codium-ai,pr-agent,41166dc271039f9952c8086005f6c4b242021221,Shao_Dataset.csv
10,DLR-RM,stable-baselines3,,Own_Extracted_Dataset.xlsx
109,DanielSmith0831,DocsGPT,6b6737613ad934a28ae4251ffa9716465e6e35dd,Shao_Dataset.csv
110,Devansh968,Chat-with-Pdf-using-Qdrant-vector-database,771195f36a735a6f4ac1b63edc04661c11a67f3f,Shao_Dataset.csv
111,Doriandarko,BabyAGIChatGPT,174491cbbc09d3f6ef0ec511e9e3b94e2615ffa0,Shao_Dataset.csv
11,EleutherAI,gpt-neo,,Own_Extracted_Dataset.xlsx
12,EleutherAI,gpt-neox,,Own_Extracted_Dataset.xlsx
112,EmbraceAGI,LocalAGI,f2fd7824ee270b8d45b336366ec885a14b809b8b,Shao_Dataset.csv
13,EmbraceAGI,awesome-chatgpt-zh,,Own_Extracted_Dataset.xlsx
113,ExpressGit,langchain-ChatGLM,21035d7706b24956f845c65e1492690abbb07d8b,Shao_Dataset.csv
114,FOLLGAD,Godmode-GPT,4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,Shao_Dataset.csv
14,GaiZhenbiao,ChuanhuChatGPT,,Own_Extracted_Dataset.xlsx
115,Gamma-Software,AppifyAi,1e2a008b29a0a14d590f41056226636dae266931,Shao_Dataset.csv
116,GreyDGL,PentestGPT,a4e5361d76c880a9cf6f79f12e6cff90c8c01da3,Shao_Dataset.csv
117,Haste171,langchain-chatbot,f3999530d57eb8069d8b911024785d82ac5d003d,Shao_Dataset.csv
15,InternLM,lmdeploy,,Own_Extracted_Dataset.xlsx
118,Jerk400,h2ogpt-dev-local,ba56d6471080ec447c7c5347a2d4765ae4dba5b4,Shao_Dataset.csv
119,Josh-XT,AGiXT,de7d913b2853708b9f9d4e7127ea48bca80865b9,Shao_Dataset.csv
16,LlamaFamily,Llama-Chinese,,Own_Extracted_Dataset.xlsx
17,MaartenGr,BERTopic,,Own_Extracted_Dataset.xlsx
120,Mintplex-Labs,anything-llm,ebd3a62866e9e17b07a4a973b74329c0297fb78a,Shao_Dataset.csv
18,NVIDIA,Megatron-LM,,Own_Extracted_Dataset.xlsx
19,OpenRLHF,OpenRLHF,,Own_Extracted_Dataset.xlsx
20,OthersideAI,self-operating-computer,,Own_Extracted_Dataset.xlsx
21,PaddlePaddle,PaddleNLP,,Own_Extracted_Dataset.xlsx
22,QuivrHQ,quivr,,Own_Extracted_Dataset.xlsx
121,REFRIED-BoolEANS,privatgpt-gui,840675927b1ace596dcc2c8ed0f6f483805e33fe,Shao_Dataset.csv
23,RayVentura,ShortGPT,,Own_Extracted_Dataset.xlsx
24,RockChinQ,LangBot,,Own_Extracted_Dataset.xlsx
25,SYSTRAN,faster-whisper,,Own_Extracted_Dataset.xlsx
122,SaudM,GPT-LMU-APP,882ad9818e49ca004959e17a0f7d2580ebfedb10,Shao_Dataset.csv
123,Shaunwei,RealChar,ee36a803e220c8a3f021a61922ea81c59e7242ee,Shao_Dataset.csv
26,Shubhamsaboo,awesome-llm-apps,,Own_Extracted_Dataset.xlsx
124,Significant-Gravitas,AutoGPT,9ef4fab084633e4289226a6dd059a598085ec876,Shao_Dataset.csv
125,SolaceDev,pr-agent,5c768572233adb5fb9eadef21a184410b30b5603,Shao_Dataset.csv
126,StanGirard,quivr,b6f38f7aff5f026eb46a071362c9362e057119df,Shao_Dataset.csv
28,TheR1D,shell_gpt,,Own_Extracted_Dataset.xlsx
29,TransformerOptimus,SuperAGI,,Own_Extracted_Dataset.xlsx
30,UKPLab,sentence-transformers,,Own_Extracted_Dataset.xlsx
31,Upsonic,Upsonic,,Own_Extracted_Dataset.xlsx
127,VTSTech,localagi,85ecc246bd50783e9edaa4227493c0ac127912d8,Shao_Dataset.csv
128,Vidminas,chatdocs-streamlit,cf4053a1b20116fb0d05e64778e3c4c28b902f2a,Shao_Dataset.csv
129,X-D-Lab,LangChain-ChatGLM-Webui,ef829a28234228761a97541e4ebae9da4f4e6800,Shao_Dataset.csv
32,abetlen,llama-cpp-python,,Own_Extracted_Dataset.xlsx
33,activeloopai,deeplake,,Own_Extracted_Dataset.xlsx
130,ai8hyf,babyagi,6fcd528a92c80846dbb351f2b7babdd50c38709d,Shao_Dataset.csv
131,aigeek0x0,chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,3cc2b0ac1522d6a78a998759ea212052ddefb3b7,Shao_Dataset.csv
132,alejandro-ao,ask-multiple-pdfs,362e85213a01d73772d5319fb9819e026ecbe8a7,Shao_Dataset.csv
133,alexdphan,babyagi-chroma-agent,a5379280e526fd559c49d3b85513a339afc302e5,Shao_Dataset.csv
134,amauryfischer,Auto-GPT-WebUI,cea68df18f309b094912bdaa6ce2cd484dca5a13,Shao_Dataset.csv
135,arc53,DocsGPT,744d4ebbaf4349444d8d361593c4c04652c6c54b,Shao_Dataset.csv
136,arndvs,gpt4-langchain-ingest-api-data-private-chroma-aws,5259ae39cd23892c3d0030b98ae99148fb5b7284,Shao_Dataset.csv
137,benjaminearlevans,Chatgpt-babyagi-plugin,771a5ba6e6b69c30020da7a139ccec868b4a3dc7,Shao_Dataset.csv
34,bentoml,OpenLLM,,Own_Extracted_Dataset.xlsx
35,bigscience-workshop,petals,,Own_Extracted_Dataset.xlsx
138,blu3mo,scrapchat,ce78a875399b069d3d5c44c738cb10fb3704c0fd,Shao_Dataset.csv
139,c0sogi,LLMChat,b0fe554ca2327d2dc43dc819934b7973e662ffdb,Shao_Dataset.csv
140,c121914yu,FastGPT,2ae8d43216d4e6fb739143c3cc12285fed048596,Shao_Dataset.csv
141,camel-ai,camel,71d466d9d67d1d7230ebfa1be6db95f5c53e38d9,Shao_Dataset.csv
142,catid,Supercharger-Auto-GPT,2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,Shao_Dataset.csv
143,chatchat-space,Langchain-Chatchat,bc7f01925fe49c622cf7d6e2540c03fd5a0679e1,Shao_Dataset.csv
144,chenhunghan,code-review-private-ai,17f00ec43ba35f3914fea322ad84f4b1a888500f,Shao_Dataset.csv
36,chidiwilliams,buzz,,Own_Extracted_Dataset.xlsx
145,chinesewebman,doc-chatbot,d17caf9f0414bc7bc802774de1f13c5d746966fb,Shao_Dataset.csv
146,codeacme17,examor,891ed727b711c6b59e3c6899f7fa08f0df773c30,Shao_Dataset.csv
37,comet-ml,opik,,Own_Extracted_Dataset.xlsx
147,cpacker,MemGPT,6e2c92e3abda617b9efc96c88b582195579717c8,Shao_Dataset.csv
148,daveshap,ChromaDB_Chatbot_Public,ad7df3a7391c07ab59298e48ac05c24c8698698b,Shao_Dataset.csv
149,davideuler,gpt4-pdf-chatbot-langchain-chromadb,5c0f8daba056483afebf9e8a46a988e07c58ee99,Shao_Dataset.csv
38,deepset-ai,haystack,,Own_Extracted_Dataset.xlsx
150,dory111111,babyagi-streamlit,088aa7376c39d541543a3518df8bd5db46633f51,Shao_Dataset.csv
