owner,repo,files_py,total_loc,total_functions,total_classes,total_assignments,total_pipelines,total_custom_pipeline_classes,max_function_depth,has_dynamic_construct_any,functions_per_kloc,assignments_per_kloc,pipelines_per_kloc,functions_per_file,complexity_score,size_bucket
Shubhamsaboo,awesome-llm-apps,407,56125,923,256,7135,9,1,2,True,16.445,127.127,0.16,2.268,0.223,large
khoj-ai,khoj,240,38711,869,351,5848,0,0,2,True,22.448,151.068,0.0,3.621,0.229,large
hiyouga,LLaMA-Factory,213,36034,828,180,4046,0,0,2,True,22.978,112.283,0.0,3.887,0.232,large
lss233,kirara-ai,287,29625,1222,503,3950,0,0,2,True,41.249,133.333,0.0,4.258,0.236,large
All-Hands-AI,OpenHands,1161,215571,5303,1011,28336,4,3,2,True,24.6,131.446,0.019,4.568,0.241,large
AstrBotDevs,AstrBot,249,45915,947,335,6291,9,2,2,True,20.625,137.014,0.196,3.803,0.242,large
openai,openai-agents-python,345,62810,1459,488,6333,17,2,2,True,23.229,100.828,0.271,4.229,0.251,large
goetzrobin,MemGPT,158,25465,921,213,3297,0,0,2,True,36.167,129.472,0.0,5.829,0.254,large
labmlai,annotated_deep_learning_paper_implementations,227,39551,1341,415,4619,1,2,2,True,33.906,116.786,0.025,5.907,0.256,large
RockChinQ,LangBot,357,29983,564,347,4192,41,18,2,True,18.811,139.813,1.367,1.58,0.281,large
openai,openai-python,1111,119076,2797,2298,6023,0,0,3,True,23.489,50.581,0.0,2.518,0.317,large
neuml,txtai,346,41553,1991,332,4366,55,38,2,True,47.915,105.071,1.324,5.754,0.325,large
comet-ml,opik,1475,290547,4622,1263,15206,6,0,3,True,15.908,52.336,0.021,3.134,0.325,large
chatchat-space,Langchain-Chatchat,397,36584,1277,431,4443,1,0,3,True,34.906,121.447,0.027,3.217,0.326,large
567-labs,instructor,366,44078,1236,520,4084,0,0,3,True,28.041,92.654,0.0,3.377,0.327,large
meta-llama,llama-stack,769,113308,2665,1224,13202,0,0,3,True,23.52,116.514,0.0,3.466,0.328,large
ATheorell,AutoGPTArenaHack,431,42099,1537,390,4585,0,0,3,True,36.509,108.91,0.0,3.566,0.329,large
TransformerOptimus,SuperAGI,461,32710,1585,396,5784,2,0,3,True,48.456,176.827,0.061,3.438,0.331,large
UKPLab,sentence-transformers,365,63661,1456,194,8691,0,0,3,True,22.871,136.52,0.0,3.989,0.333,large
1Panel-dev,MaxKB,823,62681,3172,1356,9139,4,7,3,True,50.605,145.802,0.064,3.854,0.335,large
fangyinc,DB-GPT,507,47801,2332,555,6887,0,0,3,True,48.786,144.076,0.0,4.6,0.34,large
run-llama,llama_index,4061,416996,14420,2390,48718,101,1,3,True,34.581,116.831,0.242,3.551,0.342,large
uukuguy,DB-GPT-Lite,726,80065,3497,872,9852,0,0,3,True,43.677,123.05,0.0,4.817,0.343,large
intel,ipex-llm,668,159376,3126,531,30811,32,1,3,True,19.614,193.323,0.201,4.68,0.352,large
BerriAI,litellm,2162,623300,12202,2879,67702,52,2,3,True,19.576,108.619,0.083,5.644,0.356,large
unslothai,unsloth,109,43295,748,84,7244,1,0,3,True,17.277,167.317,0.023,6.862,0.367,large
huggingface,trl,168,54417,1307,216,7913,0,0,3,True,24.018,145.414,0.0,7.78,0.376,large
modelscope,ms-swift,532,89256,3511,693,18406,23,10,3,True,39.336,206.216,0.258,6.6,0.377,large
xorbitsai,inference,870,202477,6496,1418,36069,21,3,3,True,32.083,178.139,0.104,7.467,0.378,large
oumi-ai,oumi,513,113252,3871,454,12809,10,1,3,True,34.18,113.102,0.088,7.546,0.378,large
Aider-AI,aider,143,34247,1229,138,6253,0,0,3,True,35.886,182.585,0.0,8.594,0.385,large
EleutherAI,gpt-neox,111,29925,911,156,4209,3,1,3,True,30.443,140.652,0.1,8.207,0.386,large
speechbrain,speechbrain,589,212168,5047,754,30554,28,5,3,True,23.788,144.009,0.132,8.569,0.392,large
vllm-project,vllm,1923,559359,18231,3369,82386,2,0,3,True,32.593,147.286,0.004,9.48,0.395,large
sgl-project,sglang,1347,405317,13303,2518,65257,6,0,3,True,32.821,161.002,0.015,9.876,0.4,large
Upsonic,Upsonic,300,84395,2641,666,10379,23,2,3,True,31.293,122.981,0.273,8.803,0.402,large
facebookresearch,xformers,150,44392,1570,234,7169,0,0,3,True,35.367,161.493,0.0,10.467,0.406,large
huggingface,peft,315,103423,3467,553,17797,17,2,3,True,33.523,172.08,0.164,11.006,0.421,large
xtekky,gpt4free,301,47270,936,386,6837,0,0,4,True,19.801,144.637,0.0,3.11,0.424,large
Jerk400,h2ogpt-dev-local,74,26841,766,74,5940,10,1,3,True,28.538,221.303,0.373,10.351,0.425,large
InternLM,lmdeploy,518,99161,4752,981,20247,173,0,3,True,47.922,204.183,1.745,9.174,0.487,large
huggingface,pytorch-image-models,288,122166,5175,820,22335,1,1,3,True,42.36,182.825,0.008,17.969,0.49,large
PaddlePaddle,PaddleNLP,2598,690253,22701,4387,127234,137,30,4,True,32.888,184.33,0.198,8.738,0.497,large
ludwig-ai,ludwig,654,138505,5650,1114,16531,113,1,4,True,40.793,119.353,0.816,8.639,0.53,large
Devansh968,Chat-with-Pdf-using-Qdrant-vector-database,6580,2334462,101729,15806,320981,16,10,4,True,43.577,137.497,0.007,15.46,0.562,large
NVIDIA,Megatron-LM,784,199359,6357,958,31366,327,9,4,True,31.887,157.334,1.64,8.108,0.569,large
deepset-ai,haystack,502,110059,4699,687,13061,504,33,3,True,42.695,118.673,4.579,9.361,0.643,large
huggingface,transformers,3847,1493225,49253,12676,291631,506,344,5,True,32.984,195.303,0.339,12.803,0.65,large
StanGirard,quivr,162,7875,353,78,836,0,0,1,False,44.825,106.159,0.0,2.179,0.013,medium
yujiosaka,ChatIQ,75,8030,356,35,755,0,0,1,True,44.334,94.022,0.0,4.747,0.142,medium
Codium-ai,pr-agent,60,7735,372,54,1461,0,0,1,True,48.093,188.882,0.0,6.2,0.158,medium
SolaceDev,pr-agent,78,12627,524,73,2468,0,0,1,True,41.498,195.454,0.0,6.718,0.164,medium
wzpan,wukong-robot,58,9046,573,92,1526,0,0,2,False,63.343,168.693,0.0,9.879,0.199,medium
QuivrHQ,quivr,77,7748,242,91,1145,0,0,2,True,31.234,147.78,0.0,3.143,0.224,medium
camel-ai,camel,109,11980,405,53,1353,0,0,2,True,33.806,112.938,0.0,3.716,0.23,medium
microsoft,markitdown,53,6486,195,43,804,0,0,2,True,30.065,123.959,0.0,3.679,0.23,medium
jina-ai,clip-as-service,45,6050,170,29,744,0,0,2,True,28.099,122.975,0.0,3.778,0.231,medium
amauryfischer,Auto-GPT-WebUI,87,7405,318,41,909,1,0,2,True,42.944,122.755,0.135,3.655,0.237,medium
haotian-liu,LLaVA,61,8184,268,38,1900,0,0,2,True,32.747,232.16,0.0,4.393,0.238,medium
AntonOsika,gpt-engineer,84,11452,370,62,1052,0,0,2,True,32.309,91.862,0.0,4.405,0.238,medium
zhjunqin,Langchain-Chatchat-InternLM,58,5551,219,24,837,1,0,2,True,39.452,150.784,0.18,3.776,0.241,medium
qubvel-org,segmentation_models.pytorch,131,18809,612,208,3024,0,0,2,True,32.538,160.774,0.0,4.672,0.241,medium
fishaudio,fish-speech,56,8798,271,80,1437,0,0,2,True,30.802,163.333,0.0,4.839,0.243,medium
hzg0601,langchain-ChatGLM-annotation,49,6309,207,43,1072,1,0,2,True,32.81,169.916,0.159,4.224,0.245,medium
cpacker,MemGPT,87,11697,447,49,1808,0,0,2,True,38.215,154.57,0.0,5.138,0.246,medium
