project,file_path,rule,n_alerts
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,R27,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,R28,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,R29,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/local_model_provider/model/reranker.py,R26,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/embedding.py,R25,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/embedding.py,R28,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/stt.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/tti.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/tts.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/regolo_model_provider/model/tti.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/stt.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/tti.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/tts.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/vllm_model_provider/model/whisper_sst.py,R25,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/wenxin_model_provider/model/embedding.py,R25,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/wenxin_model_provider/model/embedding.py,R28,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/stt.py,R25,2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/tti.py,R25,1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/tts.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,R25,3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,R26,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,R27,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,R28,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,R29,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,R27,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,R28,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,R29,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run_mixtral.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,R25,3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,R26,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,R27,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,R28,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,R29,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,R27,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,R25,8
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,R26,7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,R27,7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,R28,7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,R29,7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching_prototype/run_real.py,R25,6
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,R25,3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,R26,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,R29,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/finetune.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,R28,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,R25,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,R25,3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,R26,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,R27,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,R28,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,R29,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,R25,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,R26,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,R28,2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,R29,1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,R25,2
