project,rule,alerts
0xk1h0__PentestGPT,LLM Temperature Not Explicitly Set(TNES),3
0xk1h0__PentestGPT,No Model Version Pinning (NMVP),2
0xk1h0__PentestGPT,No Structured Output (NSO),16
0xk1h0__PentestGPT,No System Message (NSM),4
0xk1h0__PentestGPT,Unbounded Max Metrics (UMM),17
1Panel-dev__MaxKB,LLM Temperature Not Explicitly Set(TNES),23
1Panel-dev__MaxKB,No Model Version Pinning (NMVP),1
1Panel-dev__MaxKB,No Structured Output (NSO),1
1Panel-dev__MaxKB,No System Message (NSM),1
1Panel-dev__MaxKB,Unbounded Max Metrics (UMM),3
567-labs__instructor,LLM Temperature Not Explicitly Set(TNES),382
567-labs__instructor,No Model Version Pinning (NMVP),136
567-labs__instructor,No Structured Output (NSO),306
567-labs__instructor,No System Message (NSM),218
567-labs__instructor,Unbounded Max Metrics (UMM),287
ATheorell__AutoGPTArenaHack,LLM Temperature Not Explicitly Set(TNES),1
ATheorell__AutoGPTArenaHack,No Model Version Pinning (NMVP),1
ATheorell__AutoGPTArenaHack,No Structured Output (NSO),1
ATheorell__AutoGPTArenaHack,Unbounded Max Metrics (UMM),2
AgentValley__chromadb-chatbot,No Structured Output (NSO),1
AgentValley__chromadb-chatbot,No System Message (NSM),1
AgentValley__chromadb-chatbot,Unbounded Max Metrics (UMM),1
All-Hands-AI__OpenHands,LLM Temperature Not Explicitly Set(TNES),10
All-Hands-AI__OpenHands,No Structured Output (NSO),9
All-Hands-AI__OpenHands,No System Message (NSM),4
AntonOsika__gpt-engineer,LLM Temperature Not Explicitly Set(TNES),1
AntonOsika__gpt-engineer,No Structured Output (NSO),1
AntonOsika__gpt-engineer,No System Message (NSM),1
AntonOsika__gpt-engineer,Unbounded Max Metrics (UMM),3
AstrBotDevs__AstrBot,LLM Temperature Not Explicitly Set(TNES),5
AstrBotDevs__AstrBot,No Structured Output (NSO),3
AstrBotDevs__AstrBot,Unbounded Max Metrics (UMM),5
Azure-Samples__azure-search-openai-demo,LLM Temperature Not Explicitly Set(TNES),1
Azure-Samples__azure-search-openai-demo,No Structured Output (NSO),2
Azure-Samples__azure-search-openai-demo,No System Message (NSM),1
BillSchumacher__Auto-GPT,No Structured Output (NSO),2
BillSchumacher__Auto-GPT,No System Message (NSM),1
BlinkDL__RWKV-LM,No Model Version Pinning (NMVP),2
Byaidu__PDFMathTranslate,LLM Temperature Not Explicitly Set(TNES),5
Byaidu__PDFMathTranslate,No Structured Output (NSO),4
Byaidu__PDFMathTranslate,No System Message (NSM),1
Byaidu__PDFMathTranslate,Unbounded Max Metrics (UMM),5
CloudDevStudios__Agent-LLM,No Structured Output (NSO),2
CloudDevStudios__Agent-LLM,No System Message (NSM),1
Doriandarko__BabyAGIChatGPT,LLM Temperature Not Explicitly Set(TNES),1
Doriandarko__BabyAGIChatGPT,No Model Version Pinning (NMVP),2
Doriandarko__BabyAGIChatGPT,No Structured Output (NSO),2
Doriandarko__BabyAGIChatGPT,No System Message (NSM),1
Doriandarko__BabyAGIChatGPT,Unbounded Max Metrics (UMM),1
EleutherAI__gpt-neox,No Model Version Pinning (NMVP),7
EmbraceAGI__LocalAGI,No Model Version Pinning (NMVP),2
EmbraceAGI__LocalAGI,No Structured Output (NSO),4
EmbraceAGI__LocalAGI,No System Message (NSM),2
ExpressGit__langchain-ChatGLM,No Model Version Pinning (NMVP),2
