project,rule,alerts
0xk1h0__PentestGPT,LLM Temperature Not Explicitly Set(TNES),3
0xk1h0__PentestGPT,No Model Version Pinning (NMVP),2
0xk1h0__PentestGPT,No Structured Output (NSO),16
0xk1h0__PentestGPT,No System Message (NSM),4
0xk1h0__PentestGPT,Unbounded Max Metrics (UMM),17
ATheorell__AutoGPTArenaHack,LLM Temperature Not Explicitly Set(TNES),1
ATheorell__AutoGPTArenaHack,No Model Version Pinning (NMVP),1
ATheorell__AutoGPTArenaHack,No Structured Output (NSO),1
ATheorell__AutoGPTArenaHack,Unbounded Max Metrics (UMM),2
AgentValley__chromadb-chatbot,No Structured Output (NSO),1
AgentValley__chromadb-chatbot,No System Message (NSM),1
AgentValley__chromadb-chatbot,Unbounded Max Metrics (UMM),1
BillSchumacher__Auto-GPT,No Structured Output (NSO),2
BillSchumacher__Auto-GPT,No System Message (NSM),1
CloudDevStudios__Agent-LLM,No Structured Output (NSO),2
CloudDevStudios__Agent-LLM,No System Message (NSM),1
Doriandarko__BabyAGIChatGPT,LLM Temperature Not Explicitly Set(TNES),1
Doriandarko__BabyAGIChatGPT,No Model Version Pinning (NMVP),2
Doriandarko__BabyAGIChatGPT,No Structured Output (NSO),2
Doriandarko__BabyAGIChatGPT,No System Message (NSM),1
Doriandarko__BabyAGIChatGPT,Unbounded Max Metrics (UMM),1
EmbraceAGI__LocalAGI,No Model Version Pinning (NMVP),2
EmbraceAGI__LocalAGI,No Structured Output (NSO),4
EmbraceAGI__LocalAGI,No System Message (NSM),2
ExpressGit__langchain-ChatGLM,No Model Version Pinning (NMVP),2
FOLLGAD__Godmode-GPT,No Structured Output (NSO),2
FOLLGAD__Godmode-GPT,No System Message (NSM),1
Gamma-Software__AppifyAi,Unbounded Max Metrics (UMM),3
Haste171__langchain-chatbot,Unbounded Max Metrics (UMM),2
Jerk400__h2ogpt-dev-local,LLM Temperature Not Explicitly Set(TNES),4
Jerk400__h2ogpt-dev-local,No Model Version Pinning (NMVP),19
Jerk400__h2ogpt-dev-local,No Structured Output (NSO),2
Jerk400__h2ogpt-dev-local,Unbounded Max Metrics (UMM),4
Josh-XT__AGiXT,No Structured Output (NSO),2
Josh-XT__AGiXT,No System Message (NSM),1
Shaunwei__RealChar,Unbounded Max Metrics (UMM),2
Significant-Gravitas__AutoGPT,LLM Temperature Not Explicitly Set(TNES),5
Significant-Gravitas__AutoGPT,No Model Version Pinning (NMVP),3
Significant-Gravitas__AutoGPT,No Structured Output (NSO),6
Significant-Gravitas__AutoGPT,No System Message (NSM),4
Significant-Gravitas__AutoGPT,Unbounded Max Metrics (UMM),4
SolaceDev__pr-agent,LLM Temperature Not Explicitly Set(TNES),2
SolaceDev__pr-agent,Unbounded Max Metrics (UMM),2
VTSTech__localagi,LLM Temperature Not Explicitly Set(TNES),1
VTSTech__localagi,No Model Version Pinning (NMVP),2
VTSTech__localagi,No Structured Output (NSO),1
VTSTech__localagi,Unbounded Max Metrics (UMM),2
Vidminas__chatdocs-streamlit,LLM Temperature Not Explicitly Set(TNES),3
Vidminas__chatdocs-streamlit,No Model Version Pinning (NMVP),2
Vidminas__chatdocs-streamlit,Unbounded Max Metrics (UMM),2
X-D-Lab__LangChain-ChatGLM-Webui,No Model Version Pinning (NMVP),4
ai8hyf__babyagi,No Structured Output (NSO),2
ai8hyf__babyagi,No System Message (NSM),1
