project,file_path,rule,n_alerts
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/azure_api.py,No Structured Output (NSO),5
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/azure_api.py,No System Message (NSM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/azure_api.py,Unbounded Max Metrics (UMM),5
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/chatgpt_api.py,LLM Temperature Not Explicitly Set(TNES),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/chatgpt_api.py,No Structured Output (NSO),5
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/chatgpt_api.py,No System Message (NSM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/chatgpt_api.py,Unbounded Max Metrics (UMM),5
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/gemini_api.py,LLM Temperature Not Explicitly Set(TNES),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/gemini_api.py,No Model Version Pinning (NMVP),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/APIs/gemini_api.py,Unbounded Max Metrics (UMM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/chatgpt.py,LLM Temperature Not Explicitly Set(TNES),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/chatgpt.py,No Model Version Pinning (NMVP),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/chatgpt.py,No Structured Output (NSO),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/chatgpt.py,No System Message (NSM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/chatgpt.py,Unbounded Max Metrics (UMM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/llm_api.py,No Structured Output (NSO),5
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/llm_api.py,No System Message (NSM),1
0xk1h0__PentestGPT,/Users/bramss/Desktop/Extracted_Repo_ICSE/0xk1h0__PentestGPT/pentestgpt/utils/llm_api.py,Unbounded Max Metrics (UMM),5
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,No Structured Output (NSO),1
